PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=162 ttl=64 time=222 ms
64 bytes from 10.0.0.4: icmp_seq=163 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=164 ttl=64 time=221 ms
64 bytes from 10.0.0.4: icmp_seq=166 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=167 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=168 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=169 ttl=64 time=160 ms
64 bytes from 10.0.0.4: icmp_seq=170 ttl=64 time=225 ms
64 bytes from 10.0.0.4: icmp_seq=172 ttl=64 time=243 ms
64 bytes from 10.0.0.4: icmp_seq=173 ttl=64 time=215 ms
64 bytes from 10.0.0.4: icmp_seq=174 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=175 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=176 ttl=64 time=237 ms
64 bytes from 10.0.0.4: icmp_seq=178 ttl=64 time=233 ms
64 bytes from 10.0.0.4: icmp_seq=179 ttl=64 time=205 ms
64 bytes from 10.0.0.4: icmp_seq=180 ttl=64 time=244 ms
64 bytes from 10.0.0.4: icmp_seq=181 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=183 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=184 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=187 ttl=64 time=217 ms
64 bytes from 10.0.0.4: icmp_seq=188 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=189 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=190 ttl=64 time=222 ms
64 bytes from 10.0.0.4: icmp_seq=191 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=193 ttl=64 time=154 ms
64 bytes from 10.0.0.4: icmp_seq=194 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=195 ttl=64 time=122 ms
64 bytes from 10.0.0.4: icmp_seq=196 ttl=64 time=131 ms
64 bytes from 10.0.0.4: icmp_seq=197 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=198 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=200 ttl=64 time=178 ms
64 bytes from 10.0.0.4: icmp_seq=201 ttl=64 time=179 ms
64 bytes from 10.0.0.4: icmp_seq=202 ttl=64 time=235 ms
64 bytes from 10.0.0.4: icmp_seq=203 ttl=64 time=221 ms
64 bytes from 10.0.0.4: icmp_seq=204 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=205 ttl=64 time=246 ms
64 bytes from 10.0.0.4: icmp_seq=207 ttl=64 time=213 ms
64 bytes from 10.0.0.4: icmp_seq=208 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=210 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=211 ttl=64 time=174 ms
64 bytes from 10.0.0.4: icmp_seq=212 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=213 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=215 ttl=64 time=228 ms
64 bytes from 10.0.0.4: icmp_seq=217 ttl=64 time=221 ms
64 bytes from 10.0.0.4: icmp_seq=220 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=222 ttl=64 time=238 ms
64 bytes from 10.0.0.4: icmp_seq=223 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=225 ttl=64 time=174 ms
64 bytes from 10.0.0.4: icmp_seq=227 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=228 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=229 ttl=64 time=246 ms
64 bytes from 10.0.0.4: icmp_seq=230 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=231 ttl=64 time=170 ms
64 bytes from 10.0.0.4: icmp_seq=234 ttl=64 time=246 ms
64 bytes from 10.0.0.4: icmp_seq=235 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=236 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=238 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=239 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=240 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=241 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=245 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=246 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=247 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=248 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=249 ttl=64 time=221 ms
64 bytes from 10.0.0.4: icmp_seq=250 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=252 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=253 ttl=64 time=223 ms
64 bytes from 10.0.0.4: icmp_seq=254 ttl=64 time=241 ms
64 bytes from 10.0.0.4: icmp_seq=256 ttl=64 time=243 ms
64 bytes from 10.0.0.4: icmp_seq=258 ttl=64 time=238 ms
64 bytes from 10.0.0.4: icmp_seq=260 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=261 ttl=64 time=244 ms
64 bytes from 10.0.0.4: icmp_seq=263 ttl=64 time=202 ms
64 bytes from 10.0.0.4: icmp_seq=265 ttl=64 time=203 ms
64 bytes from 10.0.0.4: icmp_seq=266 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=267 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=268 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=270 ttl=64 time=229 ms
64 bytes from 10.0.0.4: icmp_seq=271 ttl=64 time=207 ms
64 bytes from 10.0.0.4: icmp_seq=272 ttl=64 time=242 ms
64 bytes from 10.0.0.4: icmp_seq=273 ttl=64 time=244 ms
64 bytes from 10.0.0.4: icmp_seq=274 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=277 ttl=64 time=246 ms
64 bytes from 10.0.0.4: icmp_seq=278 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=280 ttl=64 time=233 ms
64 bytes from 10.0.0.4: icmp_seq=281 ttl=64 time=227 ms
64 bytes from 10.0.0.4: icmp_seq=283 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=285 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=287 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=288 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=290 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=291 ttl=64 time=225 ms
64 bytes from 10.0.0.4: icmp_seq=292 ttl=64 time=251 ms
64 bytes from 10.0.0.4: icmp_seq=293 ttl=64 time=244 ms
64 bytes from 10.0.0.4: icmp_seq=295 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=296 ttl=64 time=223 ms
64 bytes from 10.0.0.4: icmp_seq=297 ttl=64 time=241 ms
64 bytes from 10.0.0.4: icmp_seq=298 ttl=64 time=215 ms
64 bytes from 10.0.0.4: icmp_seq=299 ttl=64 time=217 ms
64 bytes from 10.0.0.4: icmp_seq=300 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=301 ttl=64 time=196 ms
64 bytes from 10.0.0.4: icmp_seq=302 ttl=64 time=227 ms
64 bytes from 10.0.0.4: icmp_seq=303 ttl=64 time=227 ms
64 bytes from 10.0.0.4: icmp_seq=304 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=305 ttl=64 time=235 ms
64 bytes from 10.0.0.4: icmp_seq=306 ttl=64 time=241 ms
64 bytes from 10.0.0.4: icmp_seq=307 ttl=64 time=240 ms
64 bytes from 10.0.0.4: icmp_seq=308 ttl=64 time=210 ms
64 bytes from 10.0.0.4: icmp_seq=309 ttl=64 time=212 ms
64 bytes from 10.0.0.4: icmp_seq=311 ttl=64 time=178 ms
64 bytes from 10.0.0.4: icmp_seq=314 ttl=64 time=213 ms
64 bytes from 10.0.0.4: icmp_seq=315 ttl=64 time=132 ms
64 bytes from 10.0.0.4: icmp_seq=316 ttl=64 time=234 ms
64 bytes from 10.0.0.4: icmp_seq=318 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=319 ttl=64 time=236 ms
64 bytes from 10.0.0.4: icmp_seq=321 ttl=64 time=253 ms
64 bytes from 10.0.0.4: icmp_seq=322 ttl=64 time=86.5 ms
64 bytes from 10.0.0.4: icmp_seq=324 ttl=64 time=230 ms
64 bytes from 10.0.0.4: icmp_seq=325 ttl=64 time=216 ms
64 bytes from 10.0.0.4: icmp_seq=327 ttl=64 time=223 ms
64 bytes from 10.0.0.4: icmp_seq=328 ttl=64 time=231 ms
64 bytes from 10.0.0.4: icmp_seq=329 ttl=64 time=229 ms
64 bytes from 10.0.0.4: icmp_seq=330 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=331 ttl=64 time=237 ms
64 bytes from 10.0.0.4: icmp_seq=332 ttl=64 time=243 ms
64 bytes from 10.0.0.4: icmp_seq=333 ttl=64 time=214 ms

--- 10.0.0.4 ping statistics ---
335 packets transmitted, 243 received, 27% packet loss, time 334555ms
rtt min/avg/max/mdev = 86.530/229.782/297.555/27.873 ms
