--2016-10-02 17:25:11--  http://10.0.0.3:5004/625M.log
Connecting to 10.0.0.3:5004... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.12’

 12100K .......... .......... .......... .......... ..........  1%  668M 3m20s
 12150K .......... .......... .......... .......... ..........  1%  248K 3m29s
 12200K .......... .......... .......... .......... ..........  1%  531M 3m28s
 12250K .......... .......... .......... .......... ..........  1%  684M 3m28s
 12300K .......... .......... .......... .......... ..........  1%  625M 3m27s
 12350K .......... .......... .......... .......... ..........  1%  701M 3m26s
 12400K .......... .......... .......... .......... ..........  1%  670M 3m25s
 12450K .......... .......... .......... .......... ..........  1%  755M 3m24s
 12500K .......... .......... .......... .......... ..........  1%  788M 3m23s
 12550K .......... .......... .......... .......... ..........  1%  740M 3m23s
 12600K .......... .......... .......... .......... ..........  1%  690M 3m22s
 12650K .......... .......... .......... .......... ..........  1%  754M 3m21s
 12700K .......... .......... .......... .......... ..........  1%  765M 3m20s
 12750K .......... .......... .......... .......... ..........  2%  760M 3m19s
 12800K .......... .......... .......... .......... ..........  2%  248K 3m28s
 12850K .......... .......... .......... .......... ..........  2%  753M 3m28s
 12900K .......... .......... .......... .......... ..........  2%  680M 3m27s
 12950K .......... .......... .......... .......... ..........  2%  704M 3m26s
 13000K .......... .......... .......... .......... ..........  2%  524M 3m25s
 13050K .......... .......... .......... .......... ..........  2%  657M 3m24s
 13100K .......... .......... .......... .......... ..........  2%  701M 3m24s
 13150K .......... .......... .......... .......... ..........  2%  604M 3m23s
 13200K .......... .......... .......... .......... ..........  2%  576M 3m22s
 13250K .......... .......... .......... .......... ..........  2%  671M 3m21s
 13300K .......... .......... .......... .......... ..........  2%  583M 3m20s
 13350K .......... .......... .......... .......... ..........  2%  682M 3m20s
 13400K .......... .......... .......... .......... ..........  2%  519M 3m19s
 13450K .......... .......... .......... .......... ..........  2%  248K 3m28s
 13500K .......... .......... .......... .......... ..........  2%  633M 3m27s
 13550K .......... .......... .......... .......... ..........  2%  449M 3m26s
 13600K .......... .......... .......... .......... ..........  2%  424M 3m25s
 13650K .......... .......... .......... .......... ..........  2%  466M 3m24s
 13700K .......... .......... .......... .......... ..........  2%  450M 3m24s
 13750K .......... .......... .......... .......... ..........  2%  361M 3m23s
 13800K .......... .......... .......... .......... ..........  2%  432M 3m22s
 13850K .......... .......... .......... .......... ..........  2%  493M 3m21s
 13900K .......... .......... .......... .......... ..........  2%  654M 3m21s
 13950K .......... .......... .......... .......... ..........  2%  543M 3m20s
 14000K .......... .......... .......... .......... ..........  2%  392M 3m19s
 14050K .......... .......... .......... .......... ..........  2%  462M 3m19s
 14100K .......... .......... .......... .......... ..........  2%  248K 3m27s
 14150K .......... .......... .......... .......... ..........  2%  370M 3m26s
 14200K .......... .......... .......... .......... ..........  2%  312M 3m25s
 14250K .......... .......... .......... .......... ..........  2%  396M 3m25s
 14300K .......... .......... .......... .......... ..........  2%  364M 3m24s
 14350K .......... .......... .......... .......... ..........  2%  398M 3m23s
 14400K .......... .......... .......... .......... ..........  2%  298M 3m22s
 14450K .......... .......... .......... .......... ..........  2%  315M 3m22s
 14500K .......... .......... .......... .......... ..........  2%  368M 3m21s
 14550K .......... .......... .......... .......... ..........  2%  173M 3m20s
 14600K .......... .......... .......... .......... ..........  2%  197M 3m20s
 14650K .......... .......... .......... .......... ..........  2%  208M 3m19s
 14700K .......... .......... .......... .......... ..........  2%  198M 3m18s
 14750K .......... .......... .......... .......... ..........  2%  250K 3m26s
 14800K .......... .......... .......... .......... ..........  2%  418M 3m25s
 14850K .......... .......... .......... .......... ..........  2%  599M 3m25s
 14900K .......... .......... .......... .......... ..........  2%  513M 3m24s
 14950K .......... .......... .......... .......... ..........  2%  616M 3m23s
 15000K .......... .......... .......... .......... ..........  2%  480M 3m23s
 15050K .......... .......... .......... .......... ..........  2%  556M 3m22s
 15100K .......... .......... .......... .......... ..........  2%  610M 3m21s
 15150K .......... .......... .......... .......... ..........  2%  564M 3m20s
 15200K .......... .......... .......... .......... ..........  2%  497M 3m20s
 15250K .......... .......... .......... .......... ..........  2%  619M 3m19s
 15300K .......... .......... .......... .......... ..........  2%  552M 3m18s
 15350K .......... .......... .......... .......... ..........  2%  566M 3m18s
 15400K .......... .......... .......... .......... ..........  2%  248K 3m25s
 15450K .......... .......... .......... .......... ..........  2%  216M 3m25s
 15500K .......... .......... .......... .......... ..........  2%  209M 3m24s
 15550K .......... .......... .......... .......... ..........  2%  285M 3m23s
 15600K .......... .......... .......... .......... ..........  2%  181M 3m23s
 15650K .......... .......... .......... .......... ..........  2%  306M 3m22s
 15700K .......... .......... .......... .......... ..........  2%  206M 3m21s
 15750K .......... .......... .......... .......... ..........  2%  349M 3m21s
 15800K .......... .......... .......... .......... ..........  2%  221M 3m20s
 15850K .......... .......... .......... .......... ..........  2%  210M 3m19s
 15900K .......... .......... .......... .......... ..........  2%  236M 3m19s
 15950K .......... .......... .......... .......... ..........  2%  255M 3m18s
 16000K .......... .......... .......... .......... ..........  2%  161M 3m18s
 16050K .......... .......... .......... .......... ..........  2%  247K 3m25s
 16100K .......... .......... .......... .......... ..........  2% 85.8M 3m24s
 16150K .......... .......... .......... .......... ..........  2% 91.5M 3m24s
 16200K .......... .......... .......... .......... ..........  2% 54.1M 3m23s
 16250K .......... .......... .......... .......... ..........  2% 62.0M 3m22s
 16300K .......... .......... .......... .......... ..........  2% 66.8M 3m22s
 16350K .......... .......... .......... .......... ..........  2% 8.58M 3m21s
 16400K .......... .......... .......... .......... ..........  2% 52.2M 3m21s
 16450K .......... .......... .......... .......... ..........  2% 80.4M 3m20s
 16500K .......... .......... .......... .......... ..........  2% 68.9M 3m19s
 16550K .......... .......... .......... .......... ..........  2% 71.0M 3m19s
 16600K .......... .......... .......... .......... ..........  2%  261M 3m18s
 16650K .......... .......... .......... .......... ..........  2%  298M 3m18s
 16700K .......... .......... .......... .......... ..........  2%  247K 3m25s
 16750K .......... .......... .......... .......... ..........  2%  191M 3m24s
 16800K .......... .......... .......... .......... ..........  2%  259M 3m23s
 16850K .......... .......... .......... .......... ..........  2%  397M 3m23s
 16900K .......... .......... .......... .......... ..........  2%  256M 3m22s
 16950K .......... .......... .......... .......... ..........  2%  288M 3m22s
 17000K .......... .......... .......... .......... ..........  2%  241M 3m21s
 17050K .......... .......... .......... .......... ..........  2%  312M 3m20s
 17100K .......... .......... .......... .......... ..........  2%  357M 3m20s
 17150K .......... .......... .......... .......... ..........  2%  368M 3m19s
 17200K .......... .......... .......... .......... ..........  2%  319M 3m19s
 17250K .......... .......... .......... .......... ..........  2%  375M 3m18s
 17300K .......... .......... .......... .......... ..........  2%  314M 3m17s
 17350K .......... .......... .......... .......... ..........  2%  249K 3m24s
 17400K .......... .......... .......... .......... ..........  2%  133M 3m23s
 17450K .......... .......... .......... .......... ..........  2%  209M 3m23s
 17500K .......... .......... .......... .......... ..........  2%  240M 3m22s
 17550K .......... .......... .......... .......... ..........  2%  165M 3m22s
 17600K .......... .......... .......... .......... ..........  2%  103M 3m21s
 17650K .......... .......... .......... .......... ..........  2% 99.5M 3m21s
 17700K .......... .......... .......... .......... ..........  2%  187M 3m20s
 17750K .......... .......... .......... .......... ..........  2%  196M 3m19s
 17800K .......... .......... .......... .......... ..........  2%  127M 3m19s
 17850K .......... .......... .......... .......... ..........  2%  554M 3m18s
 17900K .......... .......... .......... .......... ..........  2%  341M 3m18s
 17950K .......... .......... .......... .......... ..........  2%  530M 3m17s
 18000K .......... .......... .......... .......... ..........  2%  248K 3m24s
 18050K .......... .......... .......... .......... ..........  2%  248M 3m23s
 18100K .......... .......... .......... .......... ..........  2%  253M 3m22s
 18150K .......... .......... .......... .......... ..........  2%  251M 3m22s
 18200K .......... .......... .......... .......... ..........  2%  232M 3m21s
 18250K .......... .......... .......... .......... ..........  2%  260M 3m21s
 18300K .......... .......... .......... .......... ..........  2%  262M 3m20s
 18350K .......... .......... .......... .......... ..........  2%  265M 3m20s
 18400K .......... .......... .......... .......... ..........  2%  223M 3m19s
 18450K .......... .......... .......... .......... ..........  2%  275M 3m18s
 18500K .......... .......... .......... .......... ..........  2%  522M 3m18s
 18550K .......... .......... .......... .......... ..........  2%  538M 3m17s
 18600K .......... .......... .......... .......... ..........  2%  434M 3m17s
 18650K .......... .......... .......... .......... ..........  2%  249K 3m23s
 18700K .......... .......... .......... .......... ..........  2%  337M 3m22s
