--2016-10-02 17:23:31--  http://10.0.0.2:5001/625M.log
Connecting to 10.0.0.2:5001... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.2’

  7500K .......... .......... .......... .......... ..........  1%  247K 3m18s
  7550K .......... .......... .......... .......... ..........  1%  121M 3m16s
  7600K .......... .......... .......... .......... ..........  1%  154M 3m15s
  7650K .......... .......... .......... .......... ..........  1%  157M 3m14s
  7700K .......... .......... .......... .......... ..........  1%  710M 3m12s
  7750K .......... .......... .......... .......... ..........  1%  717M 3m11s
  7800K .......... .......... .......... .......... ..........  1%  624M 3m10s
  7850K .......... .......... .......... .......... ..........  1%  640M 3m9s
  7900K .......... .......... .......... .......... ..........  1%  549M 3m8s
  7950K .......... .......... .......... .......... ..........  1%  748M 3m6s
  8000K .......... .......... .......... .......... ..........  1%  625M 3m5s
  8050K .......... .......... .......... .......... ..........  1%  734M 3m4s
  8100K .......... .......... .......... .......... ..........  1%  729M 3m3s
  8150K .......... .......... .......... .......... ..........  1%  249K 3m17s
  8200K .......... .......... .......... .......... ..........  1%  109M 3m16s
  8250K .......... .......... .......... .......... ..........  1%  156M 3m15s
  8300K .......... .......... .......... .......... ..........  1%  134M 3m14s
  8350K .......... .......... .......... .......... ..........  1%  133M 3m13s
  8400K .......... .......... .......... .......... ..........  1%  115M 3m12s
  8450K .......... .......... .......... .......... ..........  1%  136M 3m10s
  8500K .......... .......... .......... .......... ..........  1%  165M 3m9s
  8550K .......... .......... .......... .......... ..........  1%  196M 3m8s
  8600K .......... .......... .......... .......... ..........  1%  488M 3m7s
  8650K .......... .......... .......... .......... ..........  1%  614M 3m6s
  8700K .......... .......... .......... .......... ..........  1%  639M 3m5s
  8750K .......... .......... .......... .......... ..........  1%  582M 3m4s
  8800K .......... .......... .......... .......... ..........  1%  248K 3m17s
  8850K .......... .......... .......... .......... ..........  1%  122M 3m16s
  8900K .......... .......... .......... .......... ..........  1%  152M 3m15s
  8950K .......... .......... .......... .......... ..........  1%  144M 3m14s
  9000K .......... .......... .......... .......... ..........  1%  119M 3m13s
  9050K .......... .......... .......... .......... ..........  1%  142M 3m12s
  9100K .......... .......... .......... .......... ..........  1%  127M 3m11s
  9150K .......... .......... .......... .......... ..........  1%  164M 3m10s
  9200K .......... .......... .......... .......... ..........  1%  120M 3m9s
  9250K .......... .......... .......... .......... ..........  1%  175M 3m8s
  9300K .......... .......... .......... .......... ..........  1%  152M 3m7s
  9350K .......... .......... .......... .......... ..........  1%  182M 3m6s
  9400K .......... .......... .......... .......... ..........  1%  140M 3m5s
  9450K .......... .......... .......... .......... ..........  1%  249K 3m17s
  9500K .......... .......... .......... .......... ..........  1% 90.6M 3m16s
  9550K .......... .......... .......... .......... ..........  1%  184M 3m15s
  9600K .......... .......... .......... .......... ..........  1%  365M 3m14s
  9650K .......... .......... .......... .......... ..........  1%  437M 3m13s
  9700K .......... .......... .......... .......... ..........  1%  302M 3m12s
  9750K .......... .......... .......... .......... ..........  1%  433M 3m11s
  9800K .......... .......... .......... .......... ..........  1%  354M 3m10s
  9850K .......... .......... .......... .......... ..........  1%  420M 3m9s
  9900K .......... .......... .......... .......... ..........  1%  463M 3m8s
  9950K .......... .......... .......... .......... ..........  1%  394M 3m7s
 10000K .......... .......... .......... .......... ..........  1%  420M 3m6s
 10050K .......... .......... .......... .......... ..........  1%  355M 3m5s
 10100K .......... .......... .......... .......... ..........  1%  249K 3m17s
 10150K .......... .......... .......... .......... ..........  1%  103M 3m16s
 10200K .......... .......... .......... .......... ..........  1%  110M 3m15s
 10250K .......... .......... .......... .......... ..........  1%  141M 3m14s
 10300K .......... .......... .......... .......... ..........  1%  123M 3m13s
 10350K .......... .......... .......... .......... ..........  1%  172M 3m12s
 10400K .......... .......... .......... .......... ..........  1%  127M 3m11s
 10450K .......... .......... .......... .......... ..........  1%  497M 3m10s
 10500K .......... .......... .......... .......... ..........  1%  324M 3m9s
 10550K .......... .......... .......... .......... ..........  1%  494M 3m9s
 10600K .......... .......... .......... .......... ..........  1%  403M 3m8s
 10650K .......... .......... .......... .......... ..........  1%  474M 3m7s
 10700K .......... .......... .......... .......... ..........  1%  361M 3m6s
 10750K .......... .......... .......... .......... ..........  1%  447M 3m5s
 10800K .......... .......... .......... .......... ..........  1%  248K 3m16s
 10850K .......... .......... .......... .......... ..........  1%  713M 3m15s
 10900K .......... .......... .......... .......... ..........  1%  507M 3m14s
 10950K .......... .......... .......... .......... ..........  1%  810M 3m13s
 11000K .......... .......... .......... .......... ..........  1%  364M 3m12s
 11050K .......... .......... .......... .......... ..........  1%  765M 3m11s
 11100K .......... .......... .......... .......... ..........  1%  753M 3m11s
 11150K .......... .......... .......... .......... ..........  1%  698M 3m10s
 11200K .......... .......... .......... .......... ..........  1%  711M 3m9s
 11250K .......... .......... .......... .......... ..........  1%  482M 3m8s
 11300K .......... .......... .......... .......... ..........  1%  617M 3m7s
 11350K .......... .......... .......... .......... ..........  1%  654M 3m6s
 11400K .......... .......... .......... .......... ..........  1%  248K 3m17s
 11450K .......... .......... .......... .......... ..........  1%  292M 3m16s
 11500K .......... .......... .......... .......... ..........  1%  685M 3m15s
 11550K .......... .......... .......... .......... ..........  1%  385M 3m14s
 11600K .......... .......... .......... .......... ..........  1%  431M 3m13s
 11650K .......... .......... .......... .......... ..........  1%  409M 3m12s
 11700K .......... .......... .......... .......... ..........  1%  544M 3m11s
 11750K .......... .......... .......... .......... ..........  1%  522M 3m11s
 11800K .......... .......... .......... .......... ..........  1%  425M 3m10s
 11850K .......... .......... .......... .......... ..........  1%  780M 3m9s
 11900K .......... .......... .......... .......... ..........  1%  705M 3m8s
 11950K .......... .......... .......... .......... ..........  1%  752M 3m7s
 12000K .......... .......... .......... .......... ..........  1%  636M 3m7s
 12050K .......... .......... .......... .......... ..........  1%  248K 3m16s
 12100K .......... .......... .......... .......... ..........  1% 75.9M 3m16s
 12150K .......... .......... .......... .......... ..........  1%  168M 3m15s
 12200K .......... .......... .......... .......... ..........  1%  159M 3m14s
 12250K .......... .......... .......... .......... ..........  1%  182M 3m13s
 12300K .......... .......... .......... .......... ..........  1%  174M 3m12s
 12350K .......... .......... .......... .......... ..........  1%  155M 3m12s
 12400K .......... .......... .......... .......... ..........  1%  157M 3m11s
 12450K .......... .......... .......... .......... ..........  1%  147M 3m10s
 12500K .......... .......... .......... .......... ..........  1%  175M 3m9s
 12550K .......... .......... .......... .......... ..........  1%  183M 3m9s
