PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=153 ttl=64 time=0.511 ms
64 bytes from 10.0.0.5: icmp_seq=154 ttl=64 time=0.479 ms
64 bytes from 10.0.0.5: icmp_seq=155 ttl=64 time=0.542 ms
64 bytes from 10.0.0.5: icmp_seq=156 ttl=64 time=0.166 ms
64 bytes from 10.0.0.5: icmp_seq=157 ttl=64 time=0.990 ms
64 bytes from 10.0.0.5: icmp_seq=158 ttl=64 time=0.502 ms
64 bytes from 10.0.0.5: icmp_seq=159 ttl=64 time=0.604 ms
64 bytes from 10.0.0.5: icmp_seq=160 ttl=64 time=0.341 ms
64 bytes from 10.0.0.5: icmp_seq=161 ttl=64 time=0.529 ms
64 bytes from 10.0.0.5: icmp_seq=162 ttl=64 time=1.48 ms
64 bytes from 10.0.0.5: icmp_seq=163 ttl=64 time=1.02 ms
64 bytes from 10.0.0.5: icmp_seq=164 ttl=64 time=0.499 ms
64 bytes from 10.0.0.5: icmp_seq=165 ttl=64 time=0.343 ms
64 bytes from 10.0.0.5: icmp_seq=166 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=167 ttl=64 time=0.484 ms
64 bytes from 10.0.0.5: icmp_seq=168 ttl=64 time=1.15 ms
64 bytes from 10.0.0.5: icmp_seq=169 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=170 ttl=64 time=1.93 ms
64 bytes from 10.0.0.5: icmp_seq=171 ttl=64 time=0.172 ms
64 bytes from 10.0.0.5: icmp_seq=172 ttl=64 time=1.04 ms
64 bytes from 10.0.0.5: icmp_seq=173 ttl=64 time=1.05 ms
64 bytes from 10.0.0.5: icmp_seq=174 ttl=64 time=0.499 ms
64 bytes from 10.0.0.5: icmp_seq=175 ttl=64 time=0.641 ms
64 bytes from 10.0.0.5: icmp_seq=176 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=177 ttl=64 time=0.605 ms
64 bytes from 10.0.0.5: icmp_seq=178 ttl=64 time=0.661 ms
64 bytes from 10.0.0.5: icmp_seq=179 ttl=64 time=1.02 ms
64 bytes from 10.0.0.5: icmp_seq=180 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=181 ttl=64 time=0.511 ms
64 bytes from 10.0.0.5: icmp_seq=182 ttl=64 time=1.51 ms
64 bytes from 10.0.0.5: icmp_seq=183 ttl=64 time=0.996 ms
64 bytes from 10.0.0.5: icmp_seq=184 ttl=64 time=0.504 ms
64 bytes from 10.0.0.5: icmp_seq=185 ttl=64 time=0.524 ms
64 bytes from 10.0.0.5: icmp_seq=186 ttl=64 time=0.170 ms
